feature_pair,feature1,feature2,thesis_feature_pair,id
calc_rise_time_0.8_max s vs calc_width_0.5 s,calc_rise_time_0.8_max s,calc_width_0.5 s,Ca$^{2+}$ RT 0.8-Max [s] vs Ca$^{2+}$ Width 0.5 [s],69
calc_rise_time_0.8_max s vs force_width_0.8 s,calc_rise_time_0.8_max s,force_width_0.8 s,Ca$^{2+}$ RT 0.8-Max [s] vs Force Width 0.8 [s],70
calc_decay_time_0.2_0.8 s vs calc_rise_time_0.8_max s,calc_decay_time_0.2_0.8 s,calc_rise_time_0.8_max s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Ca$^{2+}$ RT 0.8-Max [s],71
calc_rise_time_0.8_max s vs force_width_0.2 s,calc_rise_time_0.8_max s,force_width_0.2 s,Ca$^{2+}$ RT 0.8-Max [s] vs Force Width 0.2 [s],72
force_decay_time_max_0.8 s vs force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_rise_time_0.8_max s,Force DT Max-0.8 [s] vs Force RT 0.8-Max [s],73
calc_rise_time_0.8_max s vs force_peak_amplitude,calc_rise_time_0.8_max s,force_peak_amplitude,Ca$^{2+}$ RT 0.8-Max [s] vs Force Peak Amplitude [mN],74
calc_rise_time_0.8_max s vs force_rise_time_0.8_max s,calc_rise_time_0.8_max s,force_rise_time_0.8_max s,Ca$^{2+}$ RT 0.8-Max [s] vs Force RT 0.8-Max [s],75
calc_rise_time_0.8_max s vs calc_width_0.8 s,calc_rise_time_0.8_max s,calc_width_0.8 s,Ca$^{2+}$ RT 0.8-Max [s] vs Ca$^{2+}$ Width 0.8 [s],76
duration vs force_peak_amplitude,duration,force_peak_amplitude,FPD [s] vs Force Peak Amplitude [mN],77
calc_rise_time_0.8_max s vs force_decay_time_max_0.8 s,calc_rise_time_0.8_max s,force_decay_time_max_0.8 s,Ca$^{2+}$ RT 0.8-Max [s] vs Force DT Max-0.8 [s],78
duration vs force_width_0.8 s,duration,force_width_0.8 s,FPD [s] vs Force Width 0.8 [s],79
calc_decay_time_max_0.8 s vs force_rise_time_0.8_max s,calc_decay_time_max_0.8 s,force_rise_time_0.8_max s,Ca$^{2+}$ DT Max-0.8 [s] vs Force RT 0.8-Max [s],80
calc_rise_time_0.8_max s vs local_frequency[Hz],calc_rise_time_0.8_max s,local_frequency[Hz],Ca$^{2+}$ RT 0.8-Max [s] vs Local Frequency [Hz],81
duration vs force_width_0.2 s,duration,force_width_0.2 s,FPD [s] vs Force Width 0.2 [s],82
force_rise_time_0.2_0.8 s vs force_width_0.5 s,force_rise_time_0.2_0.8 s,force_width_0.5 s,Force RT 0.2-0.8 [s] vs Force Width 0.5 [s],83
calc_decay_time_0.2_0.8 s vs duration,calc_decay_time_0.2_0.8 s,duration,Ca$^{2+}$ DT 0.2-0.8 [s] vs FPD [s],84
