TSNE1,TSNE2,concentration,data_type,bct_id,drug,frequency[Hz]
-37.956146,11.6468315,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-28.905266,13.7244005,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-36.673214,9.65548,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-37.67582,11.538806,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-31.572186,14.104912,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-34.564926,10.012393,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-35.6598,13.341352,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-35.209812,12.481756,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-34.271423,12.636173,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-35.476944,11.012698,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-37.897495,12.003732,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-37.041348,10.251881,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-35.982803,12.82148,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-35.09352,11.16308,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-35.403847,11.971656,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-35.25195,11.881681,0.2,nifedipine,1.28b_B02,nifedipine,0.36
-45.165348,3.4187987,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-44.569046,3.8071196,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-46.040737,5.2692013,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-41.43007,-0.71049774,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-42.39345,1.539481,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-41.465805,1.4588062,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-47.343857,4.6752677,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-41.1929,-1.4262183,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-41.477016,5.1370173,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-43.31997,0.9750982,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-42.676888,0.5375,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-43.54066,4.43941,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-41.635952,1.3885499,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-45.087578,3.8498793,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-42.641884,3.7249286,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-41.172173,-0.6727472,0.3,nifedipine,1.28b_B02,nifedipine,0.32
-43.336212,0.06905246,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-43.41406,4.3688245,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-42.798275,-0.76236206,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-41.708527,-0.03573634,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-41.66811,0.3010259,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-40.345875,-0.13160643,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-42.27419,0.85652393,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-44.002453,0.52870685,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-47.4512,4.6060753,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-42.36491,-1.0257622,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-39.907818,2.1031954,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-45.900093,4.4915366,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-42.253128,-0.4023292,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-42.80428,4.982297,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-47.04439,1.7391903,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-42.51267,2.5331204,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-43.933975,4.2646866,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-43.100533,4.9917207,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-44.52578,4.9910917,0.5,nifedipine,1.28b_B02,nifedipine,0.37
-55.323795,-13.021557,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-57.425503,-14.543079,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-56.717022,-10.168493,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-59.797752,-11.946353,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-61.954,-14.556678,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-53.990726,-12.34928,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-54.60034,-9.901482,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-58.16504,-15.579157,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-56.879597,-15.9387455,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-54.19423,-13.868258,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-56.961685,-10.516043,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-53.55439,-16.537678,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-60.746872,-12.374381,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-51.42673,-15.051679,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-54.997593,-13.077063,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-57.617195,-15.608564,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-61.575565,-13.923801,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-53.586536,-13.392353,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-54.49717,-9.507117,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-52.888145,-15.333169,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-53.490055,-15.926097,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-60.903347,-13.070478,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-53.64061,-16.509224,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-58.155193,-14.087025,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-53.494007,-11.0030775,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-54.36341,-10.617433,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-61.123936,-13.344178,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-53.8617,-11.562694,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-54.427784,-12.898595,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-51.458263,-15.032707,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-57.29454,-10.105092,4.0,nifedipine,1.28b_B02,nifedipine,0.7
-59.835342,-10.753032,4.0,nifedipine,1.28b_B02,nifedipine,0.7
19.570524,3.7038584,20.0,nifedipine,1.28b_B02,nifedipine,0.55
20.256702,4.3842254,20.0,nifedipine,1.28b_B02,nifedipine,0.55
20.725641,3.676558,20.0,nifedipine,1.28b_B02,nifedipine,0.55
24.108168,4.9210835,20.0,nifedipine,1.28b_B02,nifedipine,0.55
21.516447,5.9333477,20.0,nifedipine,1.28b_B02,nifedipine,0.55
10.887056,-1.9826934,20.0,nifedipine,1.28b_B02,nifedipine,0.55
17.852709,4.664946,20.0,nifedipine,1.28b_B02,nifedipine,0.55
22.175009,3.9785948,20.0,nifedipine,1.28b_B02,nifedipine,0.55
20.235468,5.3672385,20.0,nifedipine,1.28b_B02,nifedipine,0.55
23.26084,5.7197328,20.0,nifedipine,1.28b_B02,nifedipine,0.55
23.76848,5.644998,20.0,nifedipine,1.28b_B02,nifedipine,0.55
19.460354,5.2709794,20.0,nifedipine,1.28b_B02,nifedipine,0.55
17.494646,6.0060873,20.0,nifedipine,1.28b_B02,nifedipine,0.55
24.131495,6.0490017,20.0,nifedipine,1.28b_B02,nifedipine,0.55
19.644344,3.6098404,20.0,nifedipine,1.28b_B02,nifedipine,0.55
22.629982,5.6542993,20.0,nifedipine,1.28b_B02,nifedipine,0.55
18.036266,5.190159,20.0,nifedipine,1.28b_B02,nifedipine,0.55
